anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual,sac,otros,observaciones
2020,1,Enero,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,340839.95,,,
2020,1,Enero,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,315591.65,,,
2020,1,Enero,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,300443.00,,,
2020,1,Enero,Del Interior,"De Pedro, Eduardo Enrique",Ministro,300434.29,,,
2020,1,Enero,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,300434.31,,,
2020,1,Enero,Defensa,"Rossi, Agustin Oscar",Ministro,300434.29,,,
2020,1,Enero,Economía,"Guzman, Martin Maximiliano",Ministro,300443.42,,,
2020,1,Enero,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,300434.29,,,
2020,1,Enero,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,300443.42,,,
2020,1,Enero,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,300434.31,,,
2020,1,Enero,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,300434.31,,,
2020,1,Enero,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,300434.29,,,
2020,1,Enero,Salud,"Gonzalez Garcia, Gines Mario",Ministro,300434.29,,,
2020,1,Enero,Educación,"Trotta, Nicolas Alfredo",Ministro,300434.29,,,
2020,1,Enero,Cultura,"Bauer, Tristan",Ministro,300434.31,,,
2020,1,Enero,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,300434.31,,,
2020,1,Enero,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,300434.29,,,
2020,1,Enero,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,300434.29,,,
2020,1,Enero,Seguridad,"Frederic, Sabina Andrea",Ministro,300434.29,,,
2020,1,Enero,Transporte,"Meoni, Mario Andres",Ministro,300434.29,,,
2020,1,Enero,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,300434.31,,,
2020,1,Enero,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,300434.29,,,
2020,1,Enero,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,300434.31,,,
2020,1,Enero,Secretaría General,"Vitobello, Julio Fernando",Secretario,300434.59,,,
2020,1,Enero,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,300434.29,,,
2020,1,Enero,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,300434.59,,,
2020,2,Febrero,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
2020,2,Febrero,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,2,Febrero,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,2,Febrero,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,2,Febrero,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
2020,2,Febrero,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,,,
2020,2,Febrero,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,,,
2020,2,Febrero,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,,,
2020,2,Febrero,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,,,
2020,2,Febrero,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,,,
2020,2,Febrero,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,,,
2020,2,Febrero,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,,,
2020,2,Febrero,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,,,
2020,2,Febrero,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,,,
2020,2,Febrero,Cultura,"Bauer, Tristan",Ministro,312646.14,,,
2020,2,Febrero,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,,,
2020,2,Febrero,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,,,
2020,2,Febrero,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,,,
2020,2,Febrero,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,,,
2020,2,Febrero,Transporte,"Meoni, Mario Andres",Ministro,312646.13,,,
2020,2,Febrero,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,,,
2020,2,Febrero,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,,,
2020,2,Febrero,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,,,
2020,2,Febrero,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,,,
2020,2,Febrero,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,,,
2020,2,Febrero,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,,,
2020,3,Marzo,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.16,,,
2020,3,Marzo,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,3,Marzo,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,3,Marzo,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,3,Marzo,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
